"time_utc","type","latitude","longitude","peak_current","ic_height","number_of_sensors"
"2023-02-01T04:26:09.894753644","1","-5.346186","-49.099512","5751.0","3116.0","12"
"2023-02-01T04:26:48.329565235","1","-5.361956","-49.056844","4235.0","7828.0","6"
"2023-02-01T04:27:21.208522000","40","-5.5776","-49.1662","-15209.0","0.0","6"
"2023-02-01T04:28:32.599684253","1","-4.904807","-48.968868","5192.0","19621.0","7"
"2023-02-01T04:28:32.946684598","1","-5.343769","-49.066405","-5430.0","3000.0","14"
"2023-02-01T04:28:32.948084271","0","-5.310287","-49.072901","7219.0","0.0","13"
"2023-02-01T04:29:48.301847654","1","-5.385377","-49.167131","-10145.0","7320.0","13"
"2023-02-01T04:29:48.609447641","1","-5.44099","-49.086718","8506.0","7979.0","9"
"2023-02-01T04:30:00.390596817","1","-5.33961","-49.076266","-8219.0","14836.0","12"
"2023-02-01T04:30:27.609539156","1","-5.099504","-49.020406","-9229.0","3013.0","16"
"2023-02-01T04:31:27.122420214","1","-5.138097","-49.036656","-6661.0","3000.0","8"
"2023-02-01T04:31:57.205955310","1","-5.412355","-49.093322","6713.0","17808.0","12"
"2023-02-01T04:31:57.213090688","1","-5.318344","-49.10823","-5405.0","3000.0","7"
"2023-02-01T04:31:57.518400220","1","-5.404257","-49.112285","-5129.0","17157.0","8"
"2023-02-01T04:31:57.555814271","1","-5.320789","-49.090143","6055.0","3012.0","6"
"2023-02-01T04:33:16.405964240","1","-5.352327","-49.253437","6761.0","3016.0","7"
"2023-02-01T04:33:16.412437033","0","-5.436486","-49.211178","-5652.0","0.0","8"
"2023-02-01T04:33:52.056894295","1","-5.339657","-49.103906","5661.0","9035.0","11"
"2023-02-01T04:34:30.264369338","1","-5.461353","-49.102808","-6656.0","9067.0","7"
"2023-02-01T04:34:30.588830277","1","-5.372543","-49.117227","-24303.0","7490.0","15"
"2023-02-01T04:34:30.683053266","0","-5.360092","-49.104384","-5901.0","0.0","6"
"2023-02-01T04:34:30.827470266","0","-5.375991","-49.118855","-12585.0","0.0","19"
"2023-02-01T04:34:30.880624850","0","-5.366627","-49.115173","-5196.0","0.0","8"
"2023-02-01T04:34:30.905687673","0","-5.370797","-49.115216","-6868.0","0.0","12"
"2023-02-01T04:34:30.940741519","0","-5.368836","-49.112541","-5295.0","0.0","6"
"2023-02-01T04:35:19.116253520","1","-5.380997","-49.101909","-7679.0","3431.0","13"
"2023-02-01T04:35:19.129801284","1","-5.359511","-49.088006","-6071.0","6206.0","17"
"2023-02-01T04:36:02.816219544","0","-4.891415","-48.974061","-52238.0","0.0","18"
"2023-02-01T04:36:24.466336022","1","-5.364648","-49.08181","6225.0","4040.0","7"
"2023-02-01T04:36:24.768847224","0","-5.286161","-49.063352","-33621.0","0.0","24"
"2023-02-01T04:36:24.794007229","0","-5.28989","-49.060512","-16254.0","0.0","19"
"2023-02-01T04:36:24.961041194","0","-5.284409","-49.072682","-6510.0","0.0","8"
"2023-02-01T04:36:52.080376000","40","-5.4643","-49.2272","-14185.0","0.0","12"
"2023-02-01T04:36:52.080998579","0","-5.444442","-49.18961","-4913.0","0.0","9"
"2023-02-01T04:37:16.877681650","1","-5.907002","-48.811268","10817.0","10473.0","17"
"2023-02-01T04:38:22.847118759","1","-5.404124","-49.022404","-6104.0","11333.0","7"
"2023-02-01T04:38:38.636188744","1","-5.377497","-49.163669","-6776.0","7024.0","8"
"2023-02-01T04:38:39.760940925","1","-5.847044","-48.840898","10832.0","14231.0","8"
"2023-02-01T04:38:46.700842658","0","-5.368184","-49.101458","-10145.0","0.0","13"
"2023-02-01T04:38:46.730068633","0","-5.367749","-49.100708","-15356.0","0.0","20"
"2023-02-01T04:38:46.758601329","0","-5.396185","-49.032893","-7526.0","0.0","12"
"2023-02-01T04:38:46.802297815","0","-5.365273","-49.100518","-23268.0","0.0","16"
"2023-02-01T04:38:46.845201565","0","-5.364231","-49.104061","-13840.0","0.0","13"
"2023-02-01T04:38:46.885550785","0","-5.362645","-49.098411","-4202.0","0.0","5"
"2023-02-01T04:38:46.954608139","0","-5.36452","-49.100388","-7992.0","0.0","10"
"2023-02-01T04:38:55.169651353","0","-5.355609","-49.102006","-5330.0","0.0","10"
"2023-02-01T04:38:55.237409295","1","-5.301669","-49.116004","3155.0","13547.0","6"
"2023-02-01T04:39:03.090666152","1","-5.810674","-48.946848","-7822.0","19444.0","19"
"2023-02-01T04:39:44.201743193","1","-5.441785","-49.13567","-6331.0","4074.0","12"
"2023-02-01T04:40:13.666687000","40","-5.3382","-49.1443","-6059.0","0.0","10"
"2023-02-01T04:40:19.584797855","0","-5.385781","-49.153458","-7382.0","0.0","8"
